fish_id,r_temp,a_temp,ploidy,ox,samp_date,sex,weight,length,mr_ch,tp_date,f_date,age,batch
1,28,28,2n,norm,20210407,f,339.5,23.555,5,20210406,20201125,19,b1
2,28,28,2n,norm,20210408,m,199.62,21.619,6,20210407,20201125,19,b1
3,28,28,2n,norm,20210409,f,258.06,21.912,7,20210408,20201125,19,b1
4,28,28,2n,norm,20210412,m,183.07,20.94,8,20210409,20201125,19,b1
5,28,28,2n,norm,20210413,f,305.53,24.111,5,20210412,20201125,20,b1
6,28,28,2n,norm,20210414,NA,193.43,21.597,6,20210413,20201125,20,b1
7,28,28,2n,norm,20210414,NA,324.55,24.616,7,NA,20201125,20,b1
8,28,28,2n,norm,20210414,NA,267.24,23.018,8,NA,20201125,20,b1
9,28,28,2n,hyp,20210401,m,107.06,17.967,1,NA,20201125,18,b1
10,28,28,2n,hyp,20210401,m,284.7,19.963,2,NA,20201125,18,b1
11,28,28,2n,hyp,20210401,m,117.66,18.392,3,NA,20201125,18,b1
12,28,28,2n,hyp,20210401,m,180.18,21.355,4,NA,20201125,18,b1
13,28,28,2n,hyp,20210401,m,154.21,19.517,5,NA,20201125,18,b1
14,28,28,2n,hyp,20210401,m,185.73,16.536,6,NA,20201125,18,b1
15,28,28,2n,hyp,20210401,f,203.9,21.369,7,NA,20201125,18,b1
16,28,28,2n,hyp,20210401,m,274.46,21.493,8,NA,20201125,18,b1
17,28,23,2n,norm,20210423,f,451.49,24.494,1,20210422,20201125,21,b1
18,28,23,2n,norm,20210422,m,162.52,20.659,2,20210421,20201125,21,b1
19,28,23,2n,norm,20210415,m,194.24,22.041,3,20210414,20201125,20,b1
20,28,23,2n,norm,20210426,f,496.79,24.548,4,NA,20201125,21,b1
21,28,23,2n,norm,20210426,f,199.24,19.844,5,20210424,20201125,21,b1
22,28,23,2n,norm,20210416,f,420.55,26.5,6,20210415,20201125,20,b1
23,28,23,2n,norm,20210426,m,128.96,19.379,7,NA,20201125,21,b1
24,28,23,2n,norm,20210426,f,484.06,25.432,8,20210423,20201125,21,b1
25,28,23,2n,hyp,20210408,f,172.5,22.612,1,NA,20201125,19,b1
26,28,23,2n,hyp,20210408,m,146.81,21.014,2,NA,20201125,19,b1
27,28,23,2n,hyp,20210408,m,117.04,18.341,3,NA,20201125,19,b1
28,28,23,2n,hyp,20210408,m,118.38,18.325,5,NA,20201125,19,b1
29,28,23,2n,hyp,20210408,f,195.93,21.668,6,NA,20201125,19,b1
30,28,23,2n,hyp,20210408,f,207.97,21.523,7,NA,20201125,19,b1
31,28,23,2n,hyp,20210408,m,194.1,22.3,8,NA,20201125,19,b1
32,28,28,3n,norm,20210429,m,145.69,20.434,1,20210428,20201209,20,b3
33,28,28,3n,norm,20210428,m,226.12,22.202,2,20210427,20201209,20,b3
34,28,28,3n,norm,20210430,m,160.9,21.654,3,20210429,20201209,20,b3
35,28,28,3n,norm,20210503,m,264.69,25.362,5,20210430,20201209,21,b3
36,28,28,3n,norm,20210503,m,155.19,20.179,6,NA,20201209,21,b3
37,28,28,3n,norm,20210503,m,193.19,23.197,7,20210105,20201209,21,b3
38,28,28,3n,norm,20210427,m,120.84,19.601,8,20210426,20201209,20,b3
39,28,28,3n,hyp,20210421,m,153.4,21.188,1,NA,20201209,19,b3
40,28,28,3n,hyp,20210421,m,156.16,20.765,2,NA,20201209,19,b3
41,28,28,3n,hyp,20210421,m,203.85,23.206,3,NA,20201209,19,b3
42,28,28,3n,hyp,20210421,m,131.06,20.774,5,NA,20201209,19,b3
43,28,28,3n,hyp,20210421,m,58.64,16.368,6,NA,20201209,19,b3
44,28,28,3n,hyp,20210421,m,141.87,19.865,7,NA,20201209,19,b3
45,28,28,3n,hyp,20210421,m,220.58,24.048,8,NA,20201209,19,b3
46,28,28,3n,hyp,20210421,m,77.84,17.814,NA,NA,20201209,19,b3
47,28,23,3n,norm,20210504,m,168.77,21.649,1,20210503,20201209,21,b3
48,28,23,3n,norm,20210506,m,242.4,24.857,2,20210505,20201209,21,b3
49,28,23,3n,norm,20210510,m,182.92,21.724,3,20210506,20201209,22,b3
50,28,23,3n,norm,20210510,m,279.96,25.384,5,20210508,20201209,22,b3
51,28,23,3n,norm,20210510,m,NA,NA,7,20210507,20201209,22,b3
52,28,23,3n,norm,20210505,m,162.48,21.231,8,20210504,20201209,21,b3
